1,4
2,4
3,5
4,5
5,6
6,11
7,13
8,18
9,20
10,24
11,27
12,27
13,40
14,53
15,65
16,78
17,101
18,123
19,133
20,153
21,171
22,203
23,237
24,276
25,319
26,343
27,374
28,442
29,492
30,541
31,609
32,651
33,687
34,758
35,821
36,890
37,985
38,1072
39,1166
40,1208
41,1268
42,1354
43,1469
44,1562
45,1651
46,1710
47,1755
48,1809
49,1887
50,1982
51,2073
52,2171
53,2215
54,2254
55,2317
56,2412
57,2504
58,2585
59,2678
60,2745
61,2770
62,2847
63,2934
64,3032
65,3108
66,3204
67,3261
68,3302
69,3334
70,3436
71,3542
72,3630
73,3708
74,3774
75,3795
76,3814
77,3884
78,3973
79,4068
80,4156
81,4213
82,4251
83,4286
84,4361
85,4422
86,4485
87,4559
88,4626
89,4653
90,4697
91,4776
92,4881
93,4943
94,4989
95,5063
96,5089
97,5121
98,5208
99,5290
100,5360
101,5424
102,5495
103,5515
104,5580
105,5632
106,5733
107,5812
108,5872
109,5905
110,5936
111,5980
112,6090
113,6163
114,6263
115,6313
116,6331
117,6337
118,6448
119,6562
120,6711
121,6851
122,6945
123,7017
124,7040
125,7087
126,7227
127,7345
128,7475
129,7595
130,7685
131,7694
132,7755
133,7870
134,8027
135,8186
136,8337
137,8416
138,8445
139,8518
140,8715
141,8909
142,9005
143,9224
144,9356
145,9388
146,9501
147,9703
148,9869
149,10011
150,10189
151,10293
152,10359
153,10468
154,10648
155,10808
156,10996
157,11147
158,11224
159,11242
160,11342
161,11523
162,11686
163,11821
164,11988
165,12134
166,12152
167,12257
168,12407
169,12550
170,12690
171,12834
172,12905
173,12933
174,13018
175,13163
176,13327
177,13490
178,13643
179,13709
180,13726
181,13758
182,13841
183,13978
184,14089
185,14251
186,14329
187,14385
188,14451
189,14615
190,14721
191,14812
192,14912
193,14987
194,15018
195,15071
196,15204
197,15314
198,15398
199,15532
200,15587
201,15608
202,15640
203,15792
204,15888
205,15986
206,16074
207,16120
208,16149
209,16177
210,16228
211,16361
212,16428
213,16500
214,16564
215,16572
216,16581
217,16639
218,16757
219,16830
220,16899
221,16943
222,16970
223,16992
224,17027
225,17189
226,17262
227,17311
228,17345
229,17357
230,17400
231,17475
232,17541
233,17571
234,17626
235,17667
236,17672
237,17686
238,17752
239,17815
240,17866
241,17939
242,17963
243,17977
244,18001
245,18070
246,18108
247,18137
248,18218
249,18253
250,18263
251,18299
252,18360
253,18466
254,18557
255,18643
256,18676
257,18726
258,18769
259,18875
260,18979
261,19033
262,19089
263,19121
264,19141
265,19211
266,19324
267,19437
268,19582
269,19791
270,19876
271,19935
272,20047
273,20243
274,20463
275,20622
276,20847
277,20969
278,21046
279,21188
280,21481
281,21860
282,22160
283,22432
284,22593
285,22676
286,22923
287,23284
288,23635
289,23947
290,23983
291,24220
292,24284
293,24526
294,24958
295,25386
296,25971
297,26357
298,26538
299,26635
300,27003
301,27462
302,28045
303,28538
304,29233
305,29701
306,29965
307,30513
308,31102
309,31654
310,32291
311,32960
312,33392
313,33593
314,33739
315,34433
316,35004
317,35768
318,36361
319,36790
320,37118
321,37527
322,38224
323,38961
324,39578
325,40216
326,40697
327,40908
328,41330
329,41811
330,42466
331,43024
332,43647
333,43942
334,44150
335,44477
336,44995
337,45456
338,46002
339,46435
340,46843
341,47043
342,47107
343,47507
344,47924
345,48344
346,48825
347,49105
348,49338
349,49563
350,49877
351,50991
352,51382
353,51821
354,51979
355,52194
356,52497
357,52775
358,53048
359,53448
360,53866
361,54124
